EVENT_NAME	STATUS	EVENT_TYPE	EXECUTE_AT	INTERVAL_VALUE	INTERVAL_FIELD	LAST_EXECUTED
announcements_bulletin	idx_published_at	1	1	0
announcements_bulletin	idx_status	1	1	0
announcements_bulletin	PRIMARY	0	1	0
announcements_bulletin	published_by	1	1	0
announcement_views	PRIMARY	0	1	0
announcement_views	uk_announcement_viewer	0	2	0
announcement_views	viewer_id	1	1	0
annual_scores	idx_academic_year	1	1	0
annual_scores	idx_annual_grade	1	1	0
annual_scores	idx_pathway_classification	1	1	0
annual_scores	PRIMARY	0	1	0
annual_scores	uk_student_year	0	2	0
api_tokens	idx_user_active	1	2	0
api_tokens	PRIMARY	0	1	0
api_tokens	uk_token	0	1	0
arrears_settlement_plans	idx_approved_by	1	1	0
arrears_settlement_plans	idx_arrears	1	1	0
arrears_settlement_plans	idx_created_by	1	1	0
arrears_settlement_plans	idx_status	1	1	0
arrears_settlement_plans	idx_student	1	1	0
arrears_settlement_plans	PRIMARY	0	1	0
assessments	idx_assessments_academic_year_calendar_day_id	1	1	0
assessments	idx_assessments_assessment_type_id	1	1	0
assessments	idx_assessments_coverage_id	1	1	0
assessments	idx_assessments_strand_id	1	1	0
assessments	idx_assessments_sub_strand_id	1	1	0
assessments	idx_aycs	1	1	0
assessments	idx_ayt	1	1	0
assessments	idx_la	1	1	0
assessments	PRIMARY	0	1	0
assessment_benchmarks	fk_ab_created_by	1	1	0
assessment_benchmarks	fk_ab_grade_level	1	1	0
assessment_benchmarks	fk_ab_subject	1	1	0
assessment_benchmarks	idx_benchmark_year_grade	1	2	0
assessment_benchmarks	PRIMARY	0	1	0
assessment_benchmarks	uk_benchmark	0	4	0
assessment_history	idx_assessment_history	1	1	0
assessment_history	idx_assessment_history_assessment_result_id	1	1	0
assessment_history	idx_student_history	1	2	0
assessment_history	PRIMARY	0	1	0
assessment_results	idx_assessment_results_responder_id	1	1	0
assessment_results	idx_enr	1	1	0
assessment_results	PRIMARY	0	1	0
assessment_results	uk_assessment_student	0	2	0
assessment_rubrics	idx_tool	1	1	336
assessment_rubrics	PRIMARY	0	1	672
assessment_tools	fk_at_created_by	1	1	4
assessment_tools	idx_assessment_type	1	1	6
assessment_tools	idx_grade	1	1	12
assessment_tools	idx_learning_area	1	1	18
assessment_tools	PRIMARY	0	1	169
assessment_tools	uk_tool_code	0	1	169
assessment_types	PRIMARY	0	1	16
assessment_types	uk_name	0	1	16
assessment_type_classifications	PRIMARY	0	1	3
assessment_type_classifications	uk_code	0	1	3
asset_categories	PRIMARY	0	1	10
asset_categories	uq_asset_category_code	0	1	10
asset_disposals	idx_disposal_asset	1	1	0
asset_disposals	PRIMARY	0	1	0
assignments	idx_asgn_class	1	1	0
assignments	idx_asgn_coverage	1	1	0
assignments	idx_asgn_due	1	1	0
assignments	idx_asgn_la	1	1	0
assignments	idx_asgn_status	1	1	0
assignments	idx_asgn_strand	1	1	0
assignments	idx_asgn_subject	1	1	0
assignments	idx_asgn_sub_strand	1	1	0
assignments	idx_asgn_teacher	1	1	0
assignments	idx_assignments_academic_year_id	1	1	0
assignments	idx_assignments_term_id	1	1	0
assignments	PRIMARY	0	1	0
assignment_submissions	idx_sub_assignment	1	1	0
assignment_submissions	idx_sub_status	1	1	0
assignment_submissions	idx_sub_student	1	1	0
assignment_submissions	PRIMARY	0	1	0
assignment_submissions	uq_submission	0	2	0
attendance_sessions	PRIMARY	0	1	11
attendance_sessions	uk_session_code	0	1	11
bank_accounts	PRIMARY	0	1	0
bank_accounts	ux_account_no	0	1	0
bank_transactions	idx_bank_matched_mpesa	1	1	0
bank_transactions	idx_bank_ref	1	2	0
bank_transactions	idx_bank_sender_name	1	1	0
bank_transactions	idx_bank_sender_phone	1	1	0
bank_transactions	idx_bank_transactions_reconciled	1	1	0
bank_transactions	idx_student_date	1	2	0
bank_transactions	PRIMARY	0	1	0
bank_transactions	uk_transaction_ref	0	1	0
blocked_devices	idx_user_agent_pattern	1	1	0
blocked_devices	PRIMARY	0	1	0
blocked_ips	idx_expires_at	1	1	0
blocked_ips	PRIMARY	0	1	0
blocked_ips	uk_blocked_ip	0	1	0
boarding_attendance	boarding_attendance_ibfk_4	1	1	0
boarding_attendance	boarding_attendance_ibfk_5	1	1	0
boarding_attendance	idx_dormitory_date	1	2	0
boarding_attendance	idx_session	1	1	0
boarding_attendance	idx_status	1	1	0
boarding_attendance	PRIMARY	0	1	0
boarding_attendance	unique_boarding_attendance	0	3	0
budgets	idx_budget_status	1	1	2
budgets	idx_budget_year	1	1	2
budgets	PRIMARY	0	1	19
budget_amendments	idx_amendment_budget	1	1	0
budget_amendments	idx_budget_amendments_line_item_id	1	1	0
budget_amendments	PRIMARY	0	1	0
budget_line_items	idx_bli_budget	1	1	0
budget_line_items	idx_bli_category	1	1	0
budget_line_items	PRIMARY	0	1	0
calendar_day_types	PRIMARY	0	1	8
calendar_day_types	uk_day_type_code	0	1	8
careers_benefits	idx_careers_benefits_is_active	1	1	2
careers_benefits	PRIMARY	0	1	6
cash_reconciliation_sessions	idx_cash_reconciliation_sessions_cashier_id	1	1	0
cash_reconciliation_sessions	idx_cash_recon_date	1	1	0
cash_reconciliation_sessions	PRIMARY	0	1	0
cash_reconciliation_sessions	uq_cash_recon_date	0	2	0
catering_meal_statuses	idx_meal_date	1	1	0
catering_meal_statuses	idx_meal_type	1	1	0
catering_meal_statuses	idx_status	1	1	0
catering_meal_statuses	PRIMARY	0	1	0
catering_meal_statuses	uk_student_meal_date	0	3	0
classes	idx_classes_level_id	1	1	12
classes	PRIMARY	0	1	12
classes	uk_class_code	0	1	12
classes	uk_class_name	0	1	12
class_promotion_queue	class_promotion_queue_ibfk_3	1	1	0
class_promotion_queue	class_promotion_queue_ibfk_4	1	1	0
class_promotion_queue	idx_approval_status	1	1	0
class_promotion_queue	idx_class_id	1	1	0
class_promotion_queue	PRIMARY	0	1	0
class_promotion_queue	uk_batch_class_stream	0	3	0
communications	idx_communications_academic_year_id	1	1	2
communications	idx_communications_academic_year_term_id	1	1	2
communications	idx_communications_outbox	1	3	8
communications	idx_communications_template_id	1	1	2
communications	idx_comm_business_event	1	1	2
communications	idx_comm_template_channel	1	1	2
communications	idx_comm_thread	1	1	2
communications	idx_sender	1	1	2
communications	idx_sent	1	1	127
communications	PRIMARY	0	1	127
communication_attachments	communication_id	1	1	0
communication_attachments	idx_comm_attachment_type	1	1	0
communication_attachments	PRIMARY	0	1	0
communication_attachment_channels	PRIMARY	0	1	0
communication_attachment_channels	uq_comm_attachment_channel	0	2	0
communication_audit_events	fk_comm_audit_template_channel	1	1	2
communication_audit_events	fk_comm_audit_thread	1	1	2
communication_audit_events	idx_comm_audit_communication	1	2	10
communication_audit_events	idx_comm_audit_endpoint	1	2	2
communication_audit_events	idx_comm_audit_provider	1	1	2
communication_audit_events	PRIMARY	0	1	10
communication_business_events	idx_comm_business_event_status	1	2	0
communication_business_events	PRIMARY	0	1	0
communication_business_events	uq_comm_business_event	0	2	0
communication_consents	idx_comm_consent_lookup	1	4	0
communication_consents	PRIMARY	0	1	0
communication_delivery_attempts	idx_comm_attempt_provider	1	1	0
communication_delivery_attempts	PRIMARY	0	1	0
communication_delivery_attempts	uq_comm_attempt_number	0	2	0
communication_event_exam_workflows	PRIMARY	0	2	0
